rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0082.jpg,32.8,0.8697,0.8674,1.0,0.68,20,11,False,True
2,frame_0070.jpg,28.0,0.8053,0.7742,0.7273,1.0,24,8,False,True
3,frame_0068.jpg,27.2,0.7917,0.8561,0.5455,1.0,19,6,False,False
4,frame_0295.jpg,118.0,0.7782,0.7935,0.8182,0.68,18,9,False,True
5,frame_0032.jpg,12.8,0.7696,0.7573,0.6364,1.0,17,7,False,True
6,frame_0018.jpg,7.2,0.7577,0.8427,0.4545,1.0,13,5,False,True
7,frame_0289.jpg,115.6,0.7568,0.7186,0.8182,0.76,15,9,False,True
8,frame_0023.jpg,9.2,0.7556,0.7293,0.6364,1.0,13,7,False,False
9,frame_0001.jpg,0.4,0.7495,0.7717,0.5455,1.0,20,6,False,True
10,frame_0020.jpg,8.0,0.741,0.8093,0.4545,1.0,12,5,False,False
11,frame_0119.jpg,47.6,0.7407,0.7984,0.8182,0.48,16,9,False,True
12,frame_0124.jpg,49.6,0.7325,0.8112,0.6364,0.68,15,7,False,True
13,frame_0016.jpg,6.4,0.7297,0.8413,0.3636,1.0,13,4,False,False
14,frame_0130.jpg,52.0,0.727,0.7586,0.5455,0.92,15,6,False,True
15,frame_0025.jpg,10.0,0.7264,0.7254,0.5455,1.0,14,6,False,True
16,frame_0133.jpg,53.2,0.7201,0.6583,0.6364,1.0,19,7,False,False
17,frame_0073.jpg,29.2,0.7176,0.7626,0.4545,1.0,12,5,False,False
18,frame_0092.jpg,36.8,0.7156,0.8829,0.7273,0.28,15,8,False,True
19,frame_0078.jpg,31.2,0.7153,0.8218,0.4545,0.84,14,5,False,False
20,frame_0033.jpg,13.2,0.7088,0.6903,0.5455,1.0,20,6,False,False
21,frame_0067.jpg,26.8,0.7005,0.6191,0.6364,1.0,23,7,False,False
22,frame_0325.jpg,130.0,0.6928,0.8786,0.8182,0.04,20,9,False,False
23,frame_0022.jpg,8.8,0.6909,0.7637,0.3636,1.0,12,4,False,False
24,frame_0077.jpg,30.8,0.6874,0.6955,0.5455,0.88,13,6,False,False
25,frame_0301.jpg,120.4,0.6859,0.814,0.6364,0.44,15,7,False,False
26,frame_0109.jpg,43.6,0.6841,0.8452,0.8182,0.08,22,9,False,False
27,frame_0024.jpg,9.6,0.6822,0.6917,0.4545,1.0,12,5,False,False
28,frame_0000.jpg,0.0,0.6801,0.6874,0.4545,1.0,14,5,False,False
29,frame_0026.jpg,10.4,0.6797,0.6866,0.4545,1.0,14,5,False,False
30,frame_0074.jpg,29.6,0.6762,0.7342,0.3636,1.0,11,4,False,False
31,frame_0171.jpg,68.4,0.6756,0.7389,0.7273,0.44,13,8,False,False
32,frame_0390.jpg,156.0,0.6721,0.7667,0.9091,0.08,22,10,False,False
33,frame_0303.jpg,121.2,0.6708,0.7612,0.7273,0.36,16,8,False,False
34,frame_0083.jpg,33.2,0.6661,0.6944,0.6364,0.64,15,7,False,False
35,frame_0181.jpg,72.4,0.665,0.7685,0.9091,0.04,20,10,False,False
36,frame_0233.jpg,93.2,0.6607,0.789,0.7273,0.24,24,8,False,False
37,frame_0027.jpg,10.8,0.6584,0.6442,0.4545,1.0,11,5,False,False
38,frame_0002.jpg,0.8,0.6571,0.696,0.3636,1.0,16,4,False,False
39,frame_0372.jpg,148.8,0.6535,0.7681,0.8182,0.12,22,9,False,False
40,frame_0311.jpg,124.4,0.6478,0.7886,0.8182,0.04,21,9,False,False
41,frame_0028.jpg,11.2,0.6458,0.6735,0.3636,1.0,11,4,False,False
42,frame_0310.jpg,124.0,0.6449,0.7124,0.9091,0.08,25,10,False,False
43,frame_0069.jpg,27.6,0.642,0.6658,0.3636,1.0,17,4,False,False
44,frame_0180.jpg,72.0,0.6391,0.8644,0.6364,0.08,18,7,False,False
45,frame_0029.jpg,11.6,0.6343,0.596,0.4545,1.0,15,5,False,False
46,frame_0232.jpg,92.8,0.6296,0.7974,0.6364,0.2,19,7,False,False
47,frame_0006.jpg,2.4,0.6271,0.5815,0.4545,1.0,9,5,False,False
48,frame_0131.jpg,52.4,0.6258,0.6495,0.3636,0.96,16,4,False,False
49,frame_0368.jpg,147.2,0.6239,0.85,0.6364,0.04,24,7,False,False
50,frame_0382.jpg,152.8,0.6116,0.8093,0.6364,0.08,18,7,False,False
51,frame_0290.jpg,116.0,0.6115,0.6302,0.4545,0.8,12,5,False,False
52,frame_0318.jpg,127.2,0.6112,0.7446,0.6364,0.24,18,7,False,False
53,frame_0386.jpg,154.4,0.6083,0.8479,0.4545,0.24,21,5,False,False
54,frame_0019.jpg,7.6,0.6054,0.5926,0.3636,1.0,9,4,False,False
55,frame_0132.jpg,52.8,0.6028,0.4782,0.5455,1.0,18,6,False,False
56,frame_0129.jpg,51.6,0.6016,0.633,0.3636,0.88,15,4,False,False
57,frame_0387.jpg,154.8,0.6013,0.7952,0.5455,0.2,21,6,False,False
58,frame_0123.jpg,49.2,0.6012,0.7282,0.3636,0.64,17,4,False,False
59,frame_0031.jpg,12.4,0.6006,0.7466,0.0909,1.0,15,1,False,False
60,frame_0017.jpg,6.8,0.5971,0.6306,0.2727,1.0,13,3,False,False
61,frame_0333.jpg,133.2,0.5971,0.7804,0.6364,0.08,20,7,False,False
62,frame_0076.jpg,30.4,0.5957,0.6053,0.3636,0.92,15,4,False,False
63,frame_0079.jpg,31.6,0.5957,0.6533,0.3636,0.8,14,4,False,False
64,frame_0087.jpg,34.8,0.5947,0.7247,0.4545,0.48,11,5,False,False
65,frame_0399.jpg,159.6,0.5935,0.8569,0.3636,0.28,14,4,False,False
66,frame_0330.jpg,132.0,0.5921,0.8956,0.4545,0.04,22,5,False,False
67,frame_0288.jpg,115.2,0.5869,0.7222,0.2727,0.72,16,3,False,False
68,frame_0188.jpg,75.2,0.5857,0.828,0.5455,0.04,16,6,False,False
